COUNTY,YEAR,Indicator,MEASURE,COUNT,VALUE,RANK,STATE
Abbeville,2015,Mortality,All causes (age-adjusted rate per 1000 population; 2013-2015),NA,8.5,18,8.3
Abbeville,2015,Population Demographics,Families below the poverty level (Percent; 2011-2015),NA,17.0,NA,13.5
Abbeville,2015,Population Demographics,Population Non-Hispanic white (percent; 2015),NA,69.3,NA,64.6
Abbeville,2015,Population Demographics,Population Non-Hispanic black (percent; 2015),NA,28.7,NA,27.8
Abbeville,2015,Population Demographics,Population Non-Hispanic other (percent; 2015),NA,0.7,NA,2.1
Abbeville,2015,Population Demographics,Population Hispanic/Latino (percent; 2015),NA,1.3,NA,5.5
Abbeville,2015,Health Care Access,Delayed seeing a doctor in the last year due to cost (percent; 2013-2015),NA,18.4,29,17.9
Abbeville,2015,Health Care Access,Has at least one person considered a personal doctor or health care provider (percent; 2013-2015),NA,89.1,3,77.0
Abbeville,2015,Health Care Access,Population insured by Medicaid (percent; 2010-2014),NA,56.5,NA,62.9
Abbeville,2015,Health Care Access,Population insured by private health insurance (percent; 2010-2014),NA,21.5,NA,18.1
Abbeville,2015,Health Care Access,Population without health insurance (percent; 2010-2014),NA,15.0,NA,15.9
Abbeville,2015,Home and Environmental Hazards,Crude rate of carbon monoxide (CO) exposures reported to SC poison control centers (call rate per 100000 population; 2015),NA,0.0,1,1.8
Abbeville,2015,Home and Environmental Hazards,Elevated (≥5 mcg/dL) blood lead tests in children <6 years of age (percent of all tests; 2015),NA,5.4,41,2.8
Abbeville,2015,Home and Environmental Hazards,Homes built prior to 1980 (percent; 2011-2015),NA,52.7,NA,40.0
Abbeville,2016,Births,Births with expected payor Medicaid  (percent of all live births; 2013-2015),401,57.1,NA,50.8
Abbeville,2016,Births,Breastfeeding initiation (percent of all live births; 2013-2015),435,62.0,25,74.6
Abbeville,2016,Births,Low birthweight births (<2500 grams; percent of all live births; 2013-2015),57,8.1,4,9.5
Abbeville,2016,Births,Mothers receiving adequate prenatal care (percent of all live births; 2013-2015),583,83.0,1,74.6
Abbeville,2016,Births,Mothers who smoked during pregnancy (percent of all live births; 2013-2015),105,15.0,34,10.0
Abbeville,2016,Births,Preterm births (<37 weeks gestation; percent of all live births; 2013-2015),82,11.7,26,11.0
Abbeville,2016,Births,Teen live births (rate per 1000 female population aged 15-19; 2013-2015),71,28.8,19,26.1
Abbeville,2016,Infant Mortality,Infant mortality (rate per 1000 live births; 2013-2015),6,8.5,29,6.8
Abbeville,2016,Chronic Diseases; Risk Factors; and Health Behaviors,Coronary heart disease (percent; 2013-2015),NA,7.8,44,4.6
Abbeville,2016,Chronic Diseases; Risk Factors; and Health Behaviors,Stroke (percent; 2013-2015),NA,3.9,17,3.8
Abbeville,2016,Chronic Diseases; Risk Factors; and Health Behaviors,Heart attack (percent; 2013-2015),NA,7.9,43,4.8
Abbeville,2016,Chronic Diseases; Risk Factors; and Health Behaviors,Hypertension (percent; 2013-2015),NA,49.6,38,38.7
Abbeville,2016,Chronic Diseases; Risk Factors; and Health Behaviors,Diabetes (percent; 2013-2015),NA,17.3,38,12.3
Abbeville,2016,Chronic Diseases; Risk Factors; and Health Behaviors,Current asthma (percent; 2013-2015),NA,7.8,19,12.6
Abbeville,2016,Chronic Diseases; Risk Factors; and Health Behaviors,Current smoking (percent; 2013-2015),NA,19.3,16,20.4
Abbeville,2016,Chronic Diseases; Risk Factors; and Health Behaviors,Adults categorized as obese; aged 20+ (BMI ≥30; percent; 2013-2015),NA,45.9,44,32.7
Abbeville,2016,Chronic Diseases; Risk Factors; and Health Behaviors,Reported leisure time physical activity in the past 30 days (percent; 2013-2015),NA,63.6,40,73.7
Abbeville,2016,Chronic Diseases; Risk Factors; and Health Behaviors,Received a flu vaccine in the last year; aged 65+ (percent; 2013-2015),NA,55.6,39,62.8
Abbeville,2016,Chronic Diseases; Risk Factors; and Health Behaviors,Received a pneumococcal vaccine ever; aged 65+ (percent; 2013-2015),NA,61.1,41,71.8
Abbeville,2016,Mortality,Accidental drug overdose (age-adjusted rate per 100000 population; 2013-2015),4,4.9,7,14.7
Abbeville,2016,Mortality,Alzheimer's disease (age-adjusted rate per 100000 population; 2013-2015),35,33.4,11,43.0
Abbeville,2016,Mortality,Cancer (malignant neoplasms only; age-adjusted rate per 100000 population; 2013-2015),213,196.0,38,168.4
Abbeville,2016,Mortality,Cerebrovascular disease (age-adjusted rate per 100000 population; 2013-2015),59,56.1,31,45.4
Abbeville,2016,Mortality,Chronic lower respiratory disease (age-adjusted rate per 100000 population; 2013-2015),66,61.2,36,48.5
Abbeville,2016,Mortality,Diabetes (age-adjusted rate per 100000 population; 2013-2015),16,14.3,7,22.5
Abbeville,2016,Mortality,Diseases of the heart (age-adjusted rate per 100000 population; 2013-2015),191,180.6,20,176.8
Abbeville,2016,Mortality,Motor vehicle accident (age-adjusted rate per 100000 population; 2013-2015),17,24.1,22,19.0
Abbeville,2016,Mortality,Suicide (age-adjusted rate per 100000 population; 2013-2015),12,16.6,34,15.3
Abbeville,2016,Mortality,All causes (age-adjusted rate per 1000 population; 2013-2015),914,8.9,23,8.3
Abbeville,2016,Population Demographics,Families below the poverty level (Percent; 2011-2015),NA,15.2,NA,12.8
Abbeville,2016,Population Demographics,Population Non-Hispanic white (percent; 2015),NA,69.4,NA,64.7
Abbeville,2016,Population Demographics,Population Non-Hispanic black (percent; 2015),NA,28.4,NA,27.6
Abbeville,2016,Population Demographics,Population Non-Hispanic other (percent; 2015),NA,0.7,NA,2.2
Abbeville,2016,Population Demographics,Population Hispanic/Latino (percent; 2015),NA,1.4,NA,5.5
Abbeville,2016,Health Care Access,Delayed seeing a doctor in the last year due to cost (percent; 2013-2015),NA,16.1,18,16.7
Abbeville,2016,Health Care Access,Has at least one person considered a personal doctor or health care provider (percent; 2013-2015),NA,89.7,2,77.8
Abbeville,2016,Health Care Access,Population insured by Medicaid (percent; 2010-2014),NA,58.1,NA,64.4
Abbeville,2016,Health Care Access,Population insured by private health insurance (percent; 2010-2014),NA,16.1,NA,13.8
Abbeville,2016,Health Care Access,Population without health insurance (percent; 2010-2014),NA,12.0,NA,13.3
Abbeville,2016,Home and Environmental Hazards,Crude rate of carbon monoxide (CO) exposures reported to SC poison control centers (call rate per 100000 population; 2015),NA,NA,NA,NA
Abbeville,2016,Home and Environmental Hazards,Elevated (≥5 mcg/dL) blood lead tests in children <6 years of age (percent of all tests; 2015),NA,3.8,34,2.6
Abbeville,2016,Home and Environmental Hazards,Homes built prior to 1980 (percent; 2011-2015),NA,52.5,NA,39.3
Abbeville,2017,Births,Births with expected payor Medicaid  (percent of all live births; 2013-2015),375,54.0,NA,50.1
Abbeville,2017,Births,Breastfeeding initiation (percent of all live births; 2013-2015),468,67.3,20,76.5
Abbeville,2017,Births,Low birthweight births (<2500 grams; percent of all live births; 2013-2015),66,9.5,16,9.6
Abbeville,2017,Births,Mothers receiving adequate prenatal care (percent of all live births; 2013-2015),563,81.0,2,75.2
Abbeville,2017,Births,Mothers who smoked during pregnancy (percent of all live births; 2013-2015),94,13.5,33,9.1
Abbeville,2017,Births,Preterm births (<37 weeks gestation; percent of all live births; 2013-2015),83,12.0,27,11.2
Abbeville,2017,Births,Teen live births (rate per 1000 female population aged 15-19; 2013-2015),56,22.7,12,23.8
Abbeville,2017,Infant Mortality,Infant mortality (rate per 1000 live births; 2013-2015),5,7.2,22,6.8
Abbeville,2017,Chronic Diseases; Risk Factors; and Health Behaviors,Coronary heart disease (percent; 2013-2015),NA,7.2,40,4.6
Abbeville,2017,Chronic Diseases; Risk Factors; and Health Behaviors,Stroke (percent; 2013-2015),NA,3.4,12,3.8
Abbeville,2017,Chronic Diseases; Risk Factors; and Health Behaviors,Heart attack (percent; 2013-2015),NA,6.5,30,4.9
Abbeville,2017,Chronic Diseases; Risk Factors; and Health Behaviors,Hypertension (percent; 2013-2015),NA,50.2,36,38.4
Abbeville,2017,Chronic Diseases; Risk Factors; and Health Behaviors,Diabetes (percent; 2013-2015),NA,15.2,25,12.8
Abbeville,2017,Chronic Diseases; Risk Factors; and Health Behaviors,Current asthma (percent; 2013-2015),NA,6.2,7,8.7
Abbeville,2017,Chronic Diseases; Risk Factors; and Health Behaviors,Current smoking (percent; 2013-2015),NA,14.9,5,19.5
Abbeville,2017,Chronic Diseases; Risk Factors; and Health Behaviors,Adults categorized as obese; aged 20+ (BMI ≥30; percent; 2013-2015),NA,42.1,39,33.2
Abbeville,2017,Chronic Diseases; Risk Factors; and Health Behaviors,Reported leisure time physical activity in the past 30 days (percent; 2013-2015),NA,68.8,25,72.7
Abbeville,2017,Chronic Diseases; Risk Factors; and Health Behaviors,Received a flu vaccine in the last year; aged 65+ (percent; 2013-2015),NA,56.9,35,62.4
Abbeville,2017,Chronic Diseases; Risk Factors; and Health Behaviors,Received a pneumococcal vaccine ever; aged 65+ (percent; 2013-2015),NA,57.9,43,73.4
Abbeville,2017,Mortality,Accidental drug overdose (age-adjusted rate per 100000 population; 2013-2015),,16.9,35,16.7
Abbeville,2017,Mortality,Alzheimer's disease (age-adjusted rate per 100000 population; 2013-2015),,35.8,16,45.4
Abbeville,2017,Mortality,Cancer (malignant neoplasms only; age-adjusted rate per 100000 population; 2013-2015),,183.1,29,165.5
Abbeville,2017,Mortality,Cerebrovascular disease (age-adjusted rate per 100000 population; 2013-2015),,52.6,28,45.6
Abbeville,2017,Mortality,Chronic lower respiratory disease (age-adjusted rate per 100000 population; 2013-2015),,56.7,29,48.4
Abbeville,2017,Mortality,Diabetes (age-adjusted rate per 100000 population; 2013-2015),,18.3,9,23.4
Abbeville,2017,Mortality,Diseases of the heart (age-adjusted rate per 100000 population; 2013-2015),,173.7,16,174.0
Abbeville,2017,Mortality,Motor vehicle accident (age-adjusted rate per 100000 population; 2013-2015),,20.8,18,20.5
Abbeville,2017,Mortality,Suicide (age-adjusted rate per 100000 population; 2013-2015),,22.8,45,15.6
Abbeville,2017,Mortality,All causes (age-adjusted rate per 1000 population; 2013-2015),,8.8,22,8.3
Abbeville,2017,Population Demographics,Families below the poverty level (Percent; 2011-2015),NA,16.3,NA,12.3
Abbeville,2017,Population Demographics,Population Non-Hispanic white (percent; 2015),NA,69.6,NA,64.6
Abbeville,2017,Population Demographics,Population Non-Hispanic black (percent; 2015),NA,28.2,NA,27.5
Abbeville,2017,Population Demographics,Population Non-Hispanic other (percent; 2015),NA,0.7,NA,2.3
Abbeville,2017,Population Demographics,Population Hispanic/Latino (percent; 2015),NA,1.5,NA,5.7
Abbeville,2017,Health Care Access,Delayed seeing a doctor in the last year due to cost (percent; 2013-2015),NA,15.7,21,15.8
Abbeville,2017,Health Care Access,Has at least one person considered a personal doctor or health care provider (percent; 2013-2015),NA,88.3,4,78.0
Abbeville,2017,Health Care Access,Population insured by Medicaid (percent; 2010-2014),NA,57.6,NA,65.2
Abbeville,2017,Health Care Access,Population insured by private health insurance (percent; 2010-2014),NA,8.8,NA,5.3
Abbeville,2017,Health Care Access,Population without health insurance (percent; 2010-2014),NA,12.1,NA,12.1
Abbeville,2017,Home and Environmental Hazards,Crude rate of carbon monoxide (CO) exposures reported to SC poison control centers (call rate per 100000 population; 2015),NA,NA,NA,NA
Abbeville,2017,Home and Environmental Hazards,Elevated (≥5 mcg/dL) blood lead tests in children <6 years of age (percent of all tests; 2015),NA,4.5,43,1.9
Abbeville,2017,Home and Environmental Hazards,Homes built prior to 1980 (percent; 2011-2015),NA,52.1,NA,38.7
Abbeville,2018,Births,Births with expected payor Medicaid  (percent of all live births; 2013-2015),358,52.3,NA,49.4
Abbeville,2018,Births,Breastfeeding initiation (percent of all live births; 2013-2015),478,69.9,20,77.5
Abbeville,2018,Births,Low birthweight births (<2500 grams; percent of all live births; 2013-2015),64,9.4,12,9.7
Abbeville,2018,Births,Mothers receiving adequate prenatal care (percent of all live births; 2013-2015),556,81.3,3,76.2
Abbeville,2018,Births,Mothers who smoked during pregnancy (percent of all live births; 2013-2015),94,13.7,36,8.6
Abbeville,2018,Births,Preterm births (<37 weeks gestation; percent of all live births; 2013-2015),69,10.1,6,11.2
Abbeville,2018,Births,Teen live births (rate per 1000 female population aged 15-19; 2013-2015),57,23.0,15,22.5
Abbeville,2018,Infant Mortality,Infant mortality (rate per 1000 live births; 2013-2015),5,7.3,22,6.9
Abbeville,2018,Chronic Diseases; Risk Factors; and Health Behaviors,Coronary heart disease (percent; 2013-2015),NA,6.1,29,4.8
Abbeville,2018,Chronic Diseases; Risk Factors; and Health Behaviors,Stroke (percent; 2013-2015),NA,5.0,28,3.9
Abbeville,2018,Chronic Diseases; Risk Factors; and Health Behaviors,Heart attack (percent; 2013-2015),NA,5.5,19,5.1
Abbeville,2018,Chronic Diseases; Risk Factors; and Health Behaviors,Hypertension (percent; 2013-2015),NA,47.6,34,38.9
Abbeville,2018,Chronic Diseases; Risk Factors; and Health Behaviors,Diabetes (percent; 2013-2015),NA,16.4,24,13.3
Abbeville,2018,Chronic Diseases; Risk Factors; and Health Behaviors,Current asthma (percent; 2013-2015),NA,9.1,20,9.0
Abbeville,2018,Chronic Diseases; Risk Factors; and Health Behaviors,Current smoking (percent; 2013-2015),NA,14.8,4,18.9
Abbeville,2018,Chronic Diseases; Risk Factors; and Health Behaviors,Adults categorized as obese; aged 20+ (BMI ≥30; percent; 2013-2015),NA,36.5,20,34.1
Abbeville,2018,Chronic Diseases; Risk Factors; and Health Behaviors,Reported leisure time physical activity in the past 30 days (percent; 2013-2015),NA,69.5,20,72.7
Abbeville,2018,Chronic Diseases; Risk Factors; and Health Behaviors,Received a flu vaccine in the last year; aged 65+ (percent; 2013-2015),NA,56.3,37,60.9
Abbeville,2018,Chronic Diseases; Risk Factors; and Health Behaviors,Received a pneumococcal vaccine ever; aged 65+ (percent; 2013-2015),NA,64.9,38,73.8
Abbeville,2018,Mortality,Accidental drug overdose (age-adjusted rate per 100000 population; 2013-2015),15,19.2,33,18.8
Abbeville,2018,Mortality,Alzheimer's disease (age-adjusted rate per 100000 population; 2013-2015),35,31.1,10,44.8
Abbeville,2018,Mortality,Cancer (malignant neoplasms only; age-adjusted rate per 100000 population; 2013-2015),217,194.3,39,162.3
Abbeville,2018,Mortality,Cerebrovascular disease (age-adjusted rate per 100000 population; 2013-2015),49,46.8,23,45.3
Abbeville,2018,Mortality,Chronic lower respiratory disease (age-adjusted rate per 100000 population; 2013-2015),56,47.7,22,47.0
Abbeville,2018,Mortality,Diabetes (age-adjusted rate per 100000 population; 2013-2015),17,16.1,7,23.9
Abbeville,2018,Mortality,Diseases of the heart (age-adjusted rate per 100000 population; 2013-2015),188,174.8,19,170.7
Abbeville,2018,Mortality,Motor vehicle accident (age-adjusted rate per 100000 population; 2013-2015),18,19.2,11,20.6
Abbeville,2018,Mortality,Suicide (age-adjusted rate per 100000 population; 2013-2015),15,22.4,43,15.8
Abbeville,2018,Mortality,All causes (age-adjusted rate per 1000 population; 2013-2015),945,8.9,23,8.3
Abbeville,2018,Population Demographics,Families below the poverty level (Percent; 2011-2015),NA,16.8,NA,11.7
Abbeville,2018,Population Demographics,Population Non-Hispanic white (percent; 2015),NA,69.6,NA,64.5
Abbeville,2018,Population Demographics,Population Non-Hispanic black (percent; 2015),NA,28.1,NA,27.3
Abbeville,2018,Population Demographics,Population Non-Hispanic other (percent; 2015),NA,0.8,NA,2.3
Abbeville,2018,Population Demographics,Population Hispanic/Latino (percent; 2015),NA,1.5,NA,5.8
Abbeville,2018,Health Care Access,Delayed seeing a doctor in the last year due to cost (percent; 2013-2015),NA,15.1,21,15.6
Abbeville,2018,Health Care Access,Has at least one person considered a personal doctor or health care provider (percent; 2013-2015),NA,84.2,11,77.3
Abbeville,2018,Health Care Access,Population insured by Medicaid (percent; 2010-2014),NA,58.6,NA,65.9
Abbeville,2018,Health Care Access,Population insured by private health insurance (percent; 2010-2014),NA,8.1,NA,5.2
Abbeville,2018,Health Care Access,Population without health insurance (percent; 2010-2014),NA,11.6,NA,11.0
Abbeville,2018,Home and Environmental Hazards,Crude rate of carbon monoxide (CO) exposures reported to SC poison control centers (call rate per 100000 population; 2015),NA,NA,NA,NA
Abbeville,2018,Home and Environmental Hazards,Elevated (≥5 mcg/dL) blood lead tests in children <6 years of age (percent of all tests; 2015),NA,2.1,23,1.8
Abbeville,2018,Home and Environmental Hazards,Homes built prior to 1980 (percent; 2011-2015),NA,53.2,NA,38.0
Aiken,2015,Births,Births with expected payor Medicaid  (percent of all live births; 2013-2015),NA,48.2,NA,51.2
Aiken,2015,Births,Breastfeeding initiation (percent of all live births; 2013-2015),NA,68.9,15,72.4
Aiken,2015,Births,Low birthweight births (<2500 grams; percent of all live births; 2013-2015),NA,9.3,15,9.6
Aiken,2015,Births,Mothers receiving adequate prenatal care (percent of all live births; 2013-2015),NA,67.0,39,74.3
Aiken,2015,Births,Mothers who smoked during pregnancy (percent of all live births; 2013-2015),NA,8.6,7,10.6
Aiken,2015,Births,Preterm births (<37 weeks gestation; percent of all live births; 2013-2015),NA,10.5,11,11.0
Aiken,2015,Births,Teen live births (rate per 1000 female population aged 15-19; 2013-2015),NA,33.3,23,28.7
Aiken,2015,Infant Mortality,Infant mortality (rate per 1000 live births; 2013-2015),NA,5.7,13,6.8
Aiken,2015,Chronic Diseases; Risk Factors; and Health Behaviors,Coronary heart disease (percent; 2013-2015),NA,6.2,38,4.7
Aiken,2015,Chronic Diseases; Risk Factors; and Health Behaviors,Stroke (percent; 2013-2015),NA,4.0,21,3.8
Aiken,2015,Chronic Diseases; Risk Factors; and Health Behaviors,Heart attack (percent; 2013-2015),NA,6.7,36,4.7
Aiken,2015,Chronic Diseases; Risk Factors; and Health Behaviors,Hypertension (percent; 2013-2015),NA,42.1,17,38.5
Aiken,2015,Chronic Diseases; Risk Factors; and Health Behaviors,Diabetes (percent; 2013-2015),NA,13.5,29,12.0
Aiken,2015,Chronic Diseases; Risk Factors; and Health Behaviors,Current asthma (percent; 2013-2015),NA,7.6,16,8.3
Aiken,2015,Chronic Diseases; Risk Factors; and Health Behaviors,Current smoking (percent; 2013-2015),NA,20.8,23,21.0
Aiken,2015,Chronic Diseases; Risk Factors; and Health Behaviors,Adults categorized as obese; aged 20+ (BMI ≥30; percent; 2013-2015),NA,35.6,24,32.7
Aiken,2015,Chronic Diseases; Risk Factors; and Health Behaviors,Reported leisure time physical activity in the past 30 days (percent; 2013-2015),NA,73.3,16,73.7
Aiken,2015,Chronic Diseases; Risk Factors; and Health Behaviors,Received a flu vaccine in the last year; aged 65+ (percent; 2013-2015),NA,64.3,21,63.9
Aiken,2015,Chronic Diseases; Risk Factors; and Health Behaviors,Received a pneumococcal vaccine ever; aged 65+ (percent; 2013-2015),NA,71.7,21,71.6
Aiken,2015,Mortality,Accidental drug overdose (age-adjusted rate per 100000 population; 2013-2015),NA,16.4,40,13.0
Aiken,2015,Mortality,Alzheimer's disease (age-adjusted rate per 100000 population; 2013-2015),NA,36.0,23,38.7
Aiken,2015,Mortality,Cancer (malignant neoplasms only; age-adjusted rate per 100000 population; 2013-2015),NA,167.4,11,170.2
Aiken,2015,Mortality,Cerebrovascular disease (age-adjusted rate per 100000 population; 2013-2015),NA,41.6,9,45.9
Aiken,2015,Mortality,Chronic lower respiratory disease (age-adjusted rate per 100000 population; 2013-2015),NA,48.9,22,49.6
Aiken,2015,Mortality,Diabetes (age-adjusted rate per 100000 population; 2013-2015),NA,21.2,18,22.5
Aiken,2015,Mortality,Diseases of the heart (age-adjusted rate per 100000 population; 2013-2015),NA,174.6,14,178.7
Aiken,2015,Mortality,Motor vehicle accident (age-adjusted rate per 100000 population; 2013-2015),NA,18.0,21,17.3
Aiken,2015,Mortality,Suicide (age-adjusted rate per 100000 population; 2013-2015),NA,17.2,40,14.7
Aiken,2015,Mortality,All causes (age-adjusted rate per 1000 population; 2013-2015),NA,8.3,13,8.3
Aiken,2015,Population Demographics,Families below the poverty level (Percent; 2011-2015),NA,13.8,NA,13.5
Aiken,2015,Population Demographics,Population Non-Hispanic white (percent; 2015),NA,67.6,NA,64.6
Aiken,2015,Population Demographics,Population Non-Hispanic black (percent; 2015),NA,25.4,NA,27.8
Aiken,2015,Population Demographics,Population Non-Hispanic other (percent; 2015),NA,1.5,NA,2.1
Aiken,2015,Population Demographics,Population Hispanic/Latino (percent; 2015),NA,5.5,NA,5.5
Aiken,2015,Health Care Access,Delayed seeing a doctor in the last year due to cost (percent; 2013-2015),NA,17.8,26,17.9
Aiken,2015,Health Care Access,Has at least one person considered a personal doctor or health care provider (percent; 2013-2015),NA,80.5,25,77.0
Aiken,2015,Health Care Access,Population insured by Medicaid (percent; 2010-2014),NA,64.6,NA,62.9
Aiken,2015,Health Care Access,Population insured by private health insurance (percent; 2010-2014),NA,17.5,NA,18.1
Aiken,2015,Health Care Access,Population without health insurance (percent; 2010-2014),NA,14.7,NA,15.9
Aiken,2015,Home and Environmental Hazards,Crude rate of carbon monoxide (CO) exposures reported to SC poison control centers (call rate per 100000 population; 2015),NA,2.4,39,1.8
Aiken,2015,Home and Environmental Hazards,Elevated (≥5 mcg/dL) blood lead tests in children <6 years of age (percent of all tests; 2015),NA,2.8,21,2.8
Aiken,2015,Home and Environmental Hazards,Homes built prior to 1980 (percent; 2011-2015),NA,43.7,NA,40.0
Aiken,2016,Births,Births with expected payor Medicaid  (percent of all live births; 2013-2015),3182,48.2,NA,51.2
Aiken,2016,Births,Breastfeeding initiation (percent of all live births; 2013-2015),4180,71.3,15,74.6
Aiken,2016,Births,Low birthweight births (<2500 grams; percent of all live births; 2013-2015),529,9.0,14,9.5
Aiken,2016,Births,Mothers receiving adequate prenatal care (percent of all live births; 2013-2015),4184,71.4,32,74.6
Aiken,2016,Births,Mothers who smoked during pregnancy (percent of all live births; 2013-2015),558,9.5,15,10.0
Aiken,2016,Births,Preterm births (<37 weeks gestation; percent of all live births; 2013-2015),614,10.5,11,11.0
Aiken,2016,Births,Teen live births (rate per 1000 female population aged 15-19; 2013-2015),461,31.0,23,26.1
Aiken,2016,Infant Mortality,Infant mortality (rate per 1000 live births; 2013-2015),33,5.6,13,6.8
Aiken,2016,Chronic Diseases; Risk Factors; and Health Behaviors,Coronary heart disease (percent; 2013-2015),NA,5.2,26,4.6
Aiken,2016,Chronic Diseases; Risk Factors; and Health Behaviors,Stroke (percent; 2013-2015),NA,3.9,18,3.8
Aiken,2016,Chronic Diseases; Risk Factors; and Health Behaviors,Heart attack (percent; 2013-2015),NA,6.3,34,4.8
Aiken,2016,Chronic Diseases; Risk Factors; and Health Behaviors,Hypertension (percent; 2013-2015),NA,36.8,5,38.7
Aiken,2016,Chronic Diseases; Risk Factors; and Health Behaviors,Diabetes (percent; 2013-2015),NA,13.5,20,12.3
Aiken,2016,Chronic Diseases; Risk Factors; and Health Behaviors,Current asthma (percent; 2013-2015),NA,7.1,13,12.6
Aiken,2016,Chronic Diseases; Risk Factors; and Health Behaviors,Current smoking (percent; 2013-2015),NA,21.8,30,20.4
Aiken,2016,Chronic Diseases; Risk Factors; and Health Behaviors,Adults categorized as obese; aged 20+ (BMI ≥30; percent; 2013-2015),NA,33.6,16,32.7
Aiken,2016,Chronic Diseases; Risk Factors; and Health Behaviors,Reported leisure time physical activity in the past 30 days (percent; 2013-2015),NA,73.0,13,73.7
Aiken,2016,Chronic Diseases; Risk Factors; and Health Behaviors,Received a flu vaccine in the last year; aged 65+ (percent; 2013-2015),NA,63.3,22,62.8
Aiken,2016,Chronic Diseases; Risk Factors; and Health Behaviors,Received a pneumococcal vaccine ever; aged 65+ (percent; 2013-2015),NA,70.7,23,71.8
Aiken,2016,Mortality,Accidental drug overdose (age-adjusted rate per 100000 population; 2013-2015),86,16.2,38,14.7
Aiken,2016,Mortality,Alzheimer's disease (age-adjusted rate per 100000 population; 2013-2015),269,42.6,29,43.0
Aiken,2016,Mortality,Cancer (malignant neoplasms only; age-adjusted rate per 100000 population; 2013-2015),1090,166.5,11,168.4
Aiken,2016,Mortality,Cerebrovascular disease (age-adjusted rate per 100000 population; 2013-2015),258,40.2,13,45.4
Aiken,2016,Mortality,Chronic lower respiratory disease (age-adjusted rate per 100000 population; 2013-2015),317,47.5,19,48.5
Aiken,2016,Mortality,Diabetes (age-adjusted rate per 100000 population; 2013-2015),136,20.3,14,22.5
